ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
JUST BB嘉丝肤缇玫瑰花洗面霜  120ml,"just,  , bb, 嘉, 丝, 肤, 缇, 玫, 瑰, 花, 洗, 面霜,  ,  , 120ml",just,1,面霜,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUST BB,11095355
JUST BB嘉丝肤缇芦荟洗面霜  120ml,"just,  , bb, 嘉, 丝, 肤, 缇, 芦荟, 洗, 面霜,  ,  , 120ml",just,1,"芦荟, 面霜",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUST BB,11095333
JUST BB嘉丝肤缇鳄梨青柠洗面霜  120ml,"just,  , bb, 嘉, 丝, 肤, 缇, 鳄, 梨, 青柠, 洗, 面霜,  ,  , 120ml",just,1,面霜,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUST BB,11095344
Kose高丝娜蔻纯皙靓白洁肤乳150g,"kose, 高丝娜蔻, 纯, 皙, 靓白, 洁, 肤, 乳, 150g",kose,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Kose高丝,9659841
Kose高丝润肌精洁肤油175ml,"kose, 高丝润肌精, 洁, 肤, 油, 175ml",kose,1,油,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Kose高丝,9660417
Kose高丝雪肌精洁肤霜140g,"kose, 高丝, 雪肌精, 洁, 肤, 霜, 140g",kose,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Kose高丝,9654551
Kose高丝雪肌精美白洗颜乳140ml,"kose, 高丝, 雪肌精, 美白, 洗颜, 乳, 140ml",kose,1,美白,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Kose高丝,9659692
MISS FACE 大米雪颜浸透美白洗面奶150g,"miss face,  , 大, 米, 雪, 颜, 浸, 透, 美白, 洗面奶, 150g",miss face,1,"米, 美白, 洗面奶",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9783862
MISSFACE豆乳保水柔和洗面奶150g,"missface, 豆乳, 保水, 柔, 和, 洗面奶, 150g",,0,洗面奶,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549308
MISSFACE豆乳润白修护去角质霜80g,"missface, 豆乳, 润白, 修, 护, 去, 角, 质, 霜, 80g",,0,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549262
MISSFACE豆乳清爽控油洗面奶150g,"missface, 豆乳, 清, 爽, 控, 油, 洗面奶, 150g",,0,"油, 洗面奶",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549284
MISSFACE豆乳雪肌美白洗面奶150g,"missface, 豆乳, 雪, 肌, 美白, 洗面奶, 150g",,0,"美白, 洗面奶",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549295
MISSFACE透明质酸完美盈润滋养洗面奶150g,"missface, 透, 明, 质, 酸, 完美, 盈润, 滋, 养, 洗面奶, 150g",完美,1,洗面奶,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549671
MISSFACE透明质酸新生修护去角质霜150g,"missface, 透, 明, 质, 酸, 新, 生, 修, 护, 去, 角, 质, 霜, 150g",,0,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549546
MISSFACE透明质酸新生紧致活肤洗面奶150g,"missface, 透, 明, 质, 酸, 新, 生, 紧致, 活肤, 洗面奶, 150g",,0,洗面奶,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549819
MISSFACE透明质酸水感净白莹采洗面奶150g,"missface, 透, 明, 质, 酸, 水, 感, 净, 白, 莹, 采, 洗面奶, 150g",,0,"水, 洗面奶",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549660
MISSFACE透明质酸美肌舒润卸妆乳150ml,"missface, 透, 明, 质, 酸, 美肌, 舒润, 卸妆, 乳, 150ml",舒润,1,卸妆,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,MISS FACE,9549557
Neutrogena露得清深层净化洗面乳100g*2,"neutrogena, 露得清, 深, 层, 净化, 洗面乳, 100g, *, 2",neutrogena,1,"净化, 洗面乳",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Neutrogena 露得清,11246290
Neutrogena露得清深层净化洗面乳100g+Neutrogena露得清细白修护面膜5片装(新包装) ,"neutrogena, 露得清, 深, 层, 净化, 洗面乳, 100g, +, neutrogena, 露得清, 细, 白, 修, 护, 面膜, 5, 片, 装, (, 新包装, ),  ",neutrogena,1,"净化, 洗面乳, 面膜",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Neutrogena 露得清,10505074
PBA 芭蓓萃 玫瑰洁面摩丝120ml,"pba,  , 芭, 蓓, 萃,  , 玫, 瑰, 洁面, 摩, 丝, 120ml",pba,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459931
PBA柔嫩角质磨砂30ml,"pba, 柔, 嫩, 角, 质, 磨, 砂, 30ml",pba,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459919
PBA活泉水洁面啫喱100ml,"pba, 活泉, 水, 洁面, 啫, 喱, 100ml",pba,1,"水, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459895
PBA红石榴活能洁面乳120ml,"pba, 红石榴, 活, 能, 洁面, 乳, 120ml",pba,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459884
PBA美白保湿洁面乳120ml,"pba, 美白, 保湿, 洁面, 乳, 120ml",pba,1,"美白, 保湿, 洁面",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459873
PBA芭蓓萃 丝瓜美白洁面乳120ml,"pba, 芭, 蓓, 萃,  , 丝, 瓜, 美白, 洁面, 乳, 120ml",pba,1,"美白, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PBA,11459920
PayEasy NATURE自然保养网薰衣草净白洁面胶120ml（台版）-,"payeasy,  , nature, 自, 然, 保养, 网, 薰, 衣, 草, 净, 白, 洁面, 胶, 120ml, （, 台, 版, ）, -",payeasy,1,"保养, 网, 洁面",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,PayEasy,10690229
旁氏臻金盈采金纯洁面乳100g+旁氏臻金盈采稚采眼部精华霜15ml,"旁氏, 臻, 金, 盈, 采, 金, 纯, 洁面, 乳, 100g, +, 旁氏, 臻, 金, 盈, 采, 稚, 采, 眼, 部, 精华霜, 15ml",旁氏,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Pond's,10616714
The Face Shop清酒清洁磨砂啫哩 150ml,"the face shop, 清, 酒, 清洁, 磨, 砂, 啫, 哩,  , 150ml",the face shop,1,"酒, 清洁",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,The Face Shop 菲诗小铺,414982
The Face Shop米水亮白洁面油 150ml,"the face shop, 米, 水, 亮白, 洁面, 油,  , 150ml",the face shop,1,"米, 水, 洁面, 油",4,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,The Face Shop 菲诗小铺,414880
the face shop绿茶泡末洗面奶试用装(赠品),"the face shop, 绿, 茶, 泡, 末, 洗面奶, 试, 用, 装, (, 赠, 品, )",the face shop,1,"茶, 洗面奶",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,The Face Shop 菲诗小铺,9665467
Udumbara优婵蓓雅清润花瓣洁面皂100g,"udumbara, 优婵蓓雅, 清润, 花瓣, 洁面, 皂, 100g",udumbara,1,"花瓣, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Udumbara优婵蓓雅,11183849
just bb去黑头蚕丝蛋白搓搓(赠品),"just,  , bb, 去, 黑, 头, 蚕, 丝, 蛋, 白, 搓, 搓, (, 赠, 品, )",just,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,just bb,9673090
just bb吸油面纸(赠品),"just,  , bb, 吸油, 面, 纸, (, 赠, 品, )",just,1,面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,just bb,9673089
