"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"9590607","“毛毛仔”大熊MX9067","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,大熊,mx9067",""
"10679513","“毛毛仔”大耳狗","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,大耳,狗",""
"10679455","“毛毛仔”悠悠熊","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,悠悠,熊",""
"10679762","“毛毛仔”猪靠垫","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,猪,靠垫","靠垫"
"10679502","“毛毛仔”皮皮趴狗","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,皮皮,趴,狗",""
"10679499","“毛毛仔”肚兜熊猫","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","“,毛毛仔,”,肚兜,熊猫","肚兜"
"574812","毛毛仔  衣裙熊(红色)55*20cm","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔","毛毛仔, , ,衣裙,熊,(,红色,),55,*,20cm",""
"574709","毛毛仔 富贵虎（大）(红色)38*25cm","毛毛仔","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"毛毛仔,虎","毛毛仔, ,富贵,虎,（,大,）,(,红色,),38,*,25cm",""
"500209","海底世界 可爱茱莉40cm毛绒玩具(粉色)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,可爱,茱莉,40cm,毛绒玩具,(,粉色,)","毛绒玩具"
"500196","海底世界 可爱茱莉45cm毛绒玩具(水蓝)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,可爱,茱莉,45cm,毛绒玩具,(,水蓝,)","毛绒玩具"
"500072","海底世界 天真摩尼10cm毛绒玩具(亮黄)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,天真,摩尼,10cm,毛绒玩具,(,亮,黄,)","毛绒玩具"
"500061","海底世界 天真摩尼20cm毛绒玩具(亮黄)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,天真,摩尼,20cm,毛绒玩具,(,亮,黄,)","毛绒玩具"
"500050","海底世界 天真摩尼40cm毛绒玩具(亮黄)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,天真,摩尼,40cm,毛绒玩具,(,亮,黄,)","毛绒玩具"
"500152","海底世界 美丽小萌10cm毛绒玩具(梅红)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,美丽,小,萌,10cm,毛绒玩具,(,梅红,)","毛绒玩具"
"500141","海底世界 美丽小萌20cm毛绒玩具(梅红)","海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,美丽,小,萌,20cm,毛绒玩具,(,梅红,)","毛绒玩具"
"9651507","瑞奇比蒂 十二属相维尼熊 蛇 (W)14*(H)20 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,十二属相,维尼熊, ,蛇, ,(,w,),14,*,(,h,),20, ,cm",""
"9651701","瑞奇比蒂 喜羊羊手偶 (H)30 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,喜羊羊,手偶, ,(,h,),30, ,cm","手偶"
"9651187","瑞奇比蒂 外贸多彩玫瑰彩虹熊 (W)25*(H)38 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,外贸","瑞奇比蒂, ,外贸,多彩,玫瑰,彩虹,熊, ,(,w,),25,*,(,h,),38, ,cm",""
"9651245","瑞奇比蒂 外贸婚礼泰迪熊婚纱礼服 (W)18*(H)32 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,外贸","瑞奇比蒂, ,外贸,婚礼,泰迪熊,婚纱礼服, ,(,w,),18,*,(,h,),32, ,cm","泰迪熊"
